Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
What are the advantages of cloud computing over computing on-premises?,Multiple Choice,Avoid large capital purchases,Use on-demand capacity,Go global in minutes,Increase speed and agility,All of the above,5,30,,
What is the pricing model that enables AWS customers to pay for resources on an as-needed basis?,Multiple Choice,Pay as you decommission,Pay as you go,Pay as you buy,Pay as you reserve,,2,30,,
Which of these is NOT a cloud computing model?,Multiple Choice,Platform as a service,Infrastructure as a service,System administration as a service,Software as a service,,3,30,,
"True or False? AWS owns and maintains the network-connected hardware required for application services, while you provision and use what you need.",Multiple Choice,TRUE,FALSE,,,,1,30,,
Which of these is NOT a benefit of cloud computing over on-premises computing?,Multiple Choice,Increase speed and agility,"Pay for racking, stacking, and powering servers",Eliminate guessing on your infrastructure capacity needs,Trade capital expense for variable expense,Benefit from massive economies of scale,2,30,,
Which of the following are NOT benefits of AWS Cloud computing? (Choose two),Checkbox,Multiple procurement cycles,High availability,High latency,Temporary and disposable resources,Fault-tolerant databases,"1,3",45,,
Which of the following is a compute service?,Multiple Choice,Amazon VPC,Amazon S3,Amazon EC2,Amazon CloudFront,Amazon Redshift,3,30,,
"True or False? Cloud computing provides a simple way to access servers, storage, databases, and a broad set of application services over the internet. You own the network-connected hardware required for these services and Amazon Web Services provisions what you need.",Multiple Choice,TRUE,FALSE,,,,2,30,,
Economies of scale result from ______.,Multiple Choice,having many different cloud providers,having hundreds of thousands of customers aggregated in the cloud,having hundreds of cloud services available over the internet,having to invest heavily in data centers and servers,,2,30,,
Which of these are ways to access AWS core services? (Choose three),Checkbox,Technical support calls,AWS Marketplace,AWS Management Console,AWS Command Line Interface (AWS CLI),Software Development Kits (SDKs),"3,4,5",45,,
"For certain services like Amazon EC2 and Amazon RDS, you can invest in reserved capacity. What options are available for Reserved Instances? (Choose three)",Checkbox,AURI,MURI,NURI,PURI,DURI,"1,3,4",45,,
Where can a customer go to get more details about Amazon EC2 billing activity that took place 3 months ago?,Multiple Choice,Amazon EC2 dashboard,AWS Cost Explorer,AWS Trusted Advisor dashboard,AWS CloudTrail logs stored in Amazon S3,,2,30,,
"True or false? To receive the discounted rate associated with Reserved Instances, you must make a full, upfront payment for the term of the agreement.",Multiple Choice,TRUE,FALSE,,,,2,30,,
Which statement is true about the pricing model on AWS?,Multiple Choice,"In most cases, there is a per gigabyte charge for inbound data transfer.",Storage is typically charged per gigabyte.,Compute is typically charged as a monthly fee based on instance type.,Outbound charges are free up to a per account limit.,,2,30,,
What are the four support plans offered by AWS Support?,Multiple Choice,"Basic, Developer, Business, Enterprise","Basic, Startup, Business, Enterprise","Free, Bronze, Silver, Gold",All support is free,,1,30,,
What AWS tool lets you explore AWS services and create an estimate for the cost of your use cases on AWS?,Multiple Choice,AWS Pricing Calculator,AWS Budgets,AWS Cost and Usage Report,AWS Billing Dashboard,,1,30,,
"As AWS grows, the cost of doing business is reduced and savings are passed back to the customer with lower pricing. What is this optimization called?",Multiple Choice,Expenditure awareness,Economies of scale,Matching supply and demand,EC2 Right Sizing,,2,30,,
"True or false? AWS offers some services at no charge, such as, Amazon VPC, AWS IAM, Consolidated Billing, AWS Elastic Beanstalk, auto scaling, and AWS CloudFormation. However, you might be charged for other AWS services that you use in conjunction with these services.",Multiple Choice,TRUE,FALSE,,,,1,30,,
What are benefits of using AWS Organizations? (Choose two),Checkbox,"Replaces existing AWS IAM policies with SCPs, which are simpler to manage",Provides the ability to create groups of accounts and then attach policies to a group,Provides the ability to create an unlimited number of nested OUs,Simplifies automating account creation and management by using APIs,Prevents any restrictions from being put on the root user,"2,4",45,,
True or false? Unlimited services are available with the AWS Free Tier to new AWS customers for 12 months following their AWS sign-up date.,Multiple Choice,TRUE,FALSE,,,,2,30,,
Which component of the AWS Global Infrastructure does Amazon CloudFront use to ensure low-latency delivery?,Multiple Choice,AWS Regions,AWS edge locations,AWS Availability Zones,Amazon Virtual Private Cloud (Amazon VPC),,2,30,,
You can run applications and workloads from a Region closer to the end users to ______ latency.,Multiple Choice,increase,decrease,,,,2,30,,
"True or False? Networking, storage, compute, and databases are examples of service categories that AWS offers.",Multiple Choice,TRUE,FALSE,,,,1,30,,
Which of the following are geographic areas that host two or more Availability Zones?,Multiple Choice,AWS Origins,AWS Regions,Compute zones,Edge locations,,2,30,,
______ means the infrastructure has built-in component redundancy and ______ means that resources dynamically adjust to increases or decreases in capacity requirements.,Multiple Choice,"No human intervention, fault tolerant","Elastic and scalable, no human intervention","Fault tolerant, elastic and scalable","Fault tolerant, no human intervention","Elastic and scalable, fault tolerant",3,30,,
True or False? Availability Zones within a Region are connected through low-latency links.,Multiple Choice,TRUE,FALSE,,,,1,30,,
Which of these statements about Availability Zones is not true?,Multiple Choice,Availability Zones are designed for fault isolation.,Availability Zones are made up of one or more data centers.,A data center can be used for more than one Availability Zone.,Availability Zones are connected to each other using high-speed private links.,,3,30,,
What is true about Regions? (Choose two),Checkbox,They are the physical locations of your customers.,Each Region is located in a separate geographic area.,A Region is a physical location that has multiple Availability Zones.,All Regions are located in one specific geographic area.,,"2,3",45,,
AWS highly recommends provisioning your compute resources across ______ Availability Zones.,Multiple Choice,single,no,all,multiple,,4,30,,
True or False? Edge locations are only located in the same general area as Regions.,Multiple Choice,TRUE,FALSE,,,,2,30,,
"In the shared responsibility model, AWS is responsible for providing what?",Multiple Choice,Security of the cloud,Security to the cloud,Security for the cloud,Security in the cloud,,1,30,,
"In the shared responsibility model, which of the following are examples of ""security in the cloud""? (Choose two)",Checkbox,Compliance with compute security standards and regulations,Physical security of the facilities in which the services operate,Security group configurations,Encryption of data at rest and data in transit,Protecting the global infrastructure,"3,4",45,,
Which of the following is the responsibility of AWS under the AWS shared responsibility model?,Multiple Choice,Configuring third-party applications,Maintaining physical hardware,Security application access and data,Managing custom Amazon Machine Images (AMIs),,2,30,,
"When creating an AWS Identity and Access Management (IAM) policy, what are the two types of access that can be granted to a user? (Choose two)",Checkbox,Institutional access,Authorized access,Programmatic access,AWS Management Console access,Administrative root access,"3,4",45,,
True or False? AWS Organizations enables you to consolidate multiple AWS accounts so that you centrally manage them.,Multiple Choice,TRUE,FALSE,,,,1,30,,
Which of the following are best practices to secure your account using AWS IAM? (Choose two),Checkbox,Provide users with default administrative privileges.,Leave unused and unnecessary users and credentials in place.,Manage access to AWS resources.,Avoid using IAM groups to grant the same access permissions to multiple users.,Define fine-grained access rights.,"3,5",45,,
Which of the following should be done by the AWS account root user?,Multiple Choice,Secure access for applications,Integrate with other AWS services,Change granular permissions,Change the AWS support plan,,4,30,,
"After initial login, what does AWS recommend as the best practice for the AWS account root user?",Multiple Choice,Delete the AWS account root user,Revoke all permissions on the AWS account root user,Restrict permission on the AWS account root user,Delete the access keys of the AWS account root user,,4,30,,
How would a system administrator add an additional layer of login security to a user's AWS Management Console?,Multiple Choice,Use Amazon Cloud Directory,Audit AWS Identity and Access Management (IAM) roles,Enable multi-factor authentication,Enable AWS CloudTrail,,3,30,,
"True or False? AWS Key Management Service (AWS KMS) enables you to assess, audit, and evaluate the configurations of your AWS resources.",Multiple Choice,TRUE,FALSE,,,,2,30,,
"With Amazon VPC, what is the smallest size subnet you can have in a VPC?",Multiple Choice,/28,/24,/26,/30,,1,30,,
"With Amazon VPC, what is the maximum size IP address range you can have in a VPC?",Multiple Choice,/16,/28,/24,/30,,1,30,,
You need to allow resources in a private subnet to access the internet. Which of the following must be present to enable this access?,Multiple Choice,Network access control lists,Route tables,NAT gateway,Security groups,,3,30,,
Which AWS networking service enables a company to create a virtual network within AWS?,Multiple Choice,AWS Direct Connect,AWS Config,Amazon Virtual Private Cloud (Amazon VPC),Amazon Route 53,,3,30,,
True or False? Private subnets have direct access to the internet.,Multiple Choice,TRUE,FALSE,,,,2,30,,
Which component of AWS Global Infrastructure does Amazon CloudFront use to ensure low-latency delivery?,Multiple Choice,AWS Regions,AWS edge locations,AWS Availability Zones,Amazon Virtual Private Cloud (Amazon VPC),,2,30,,
Which of the following is an optional security control that can be applied at the subnet layer of a VPC?,Multiple Choice,Web application firewall,Security group,Firewall,Network ACL,,4,30,,
What happens when you use Amazon VPC to create a new VPC?,Multiple Choice,A main route table is created by default.,Three subnets are created by default: one for each Availability Zone.,Three subnets are created by default in one Availability Zone.,An internet gateway is created by default.,,1,30,,
Which of the following can be used to protect Amazon EC2 instances hosted in AWS?,Multiple Choice,Security group,Internet Gateway,AMI,All of the above,,1,30,,
"You are a solutions architect... When you create a VPC, you assign it to an IPv4 CIDR block of 10.0.1.0/24 (which has 256 total IP addresses). How many IP addresses are available?",Multiple Choice,250,246,251,256,,3,30,,
Why is AWS more economical than traditional data centers for applications with varying compute workloads?,Multiple Choice,Amazon EC2 costs are billed on a monthly basis.,Customers retain full administrative access to their Amazon EC2 instances.,Customers can permanently run enough instances to handle peak workloads.,Amazon EC2 instances can be launched on-demand when needed.,,4,30,,
"If your project requires monthly reports that iterate through very large amounts of data, which Amazon EC2 purchasing option should you consider?",Multiple Choice,Spot Instances,Scheduled Reserved Instances,Dedicated Hosts,On-Demand Instances,,2,30,,
What is included in an Amazon Machine Image (AMI)?,Multiple Choice,A template for the root volume for the instance,Launch permissions that control which AWS accounts can use the AMI,A block device mapping that specifies the volumes to attach to the instance,All of the above,,4,30,,
Which Amazon EC2 feature ensures your instances will not share a physical host with instances from any other AWS customer?,Multiple Choice,Amazon VPC,Placement groups,Dedicated Instances,Reserved Instances,,3,30,,
Which of the following services is a serverless compute service in AWS?,Multiple Choice,AWS Config,AWS Lambda,AWS OpsWorks,Amazon EC2,,2,30,,
What is the service provided by AWS that enables developers to easily deploy and manage applications in the cloud?,Multiple Choice,Amazon Elastic Container Service,AWS Elastic Beanstalk,AWS Opswork,AWS CloudFormation,,2,30,,
"Your web application needs four instances to support steady traffic all of the time. On the last day of the month, the traffic triples. What is the most cost-effective way to handle this pattern?",Multiple Choice,Run 12 Reserved Instances all of the time.,"Run four On-Demand Instances constantly, then add eight more On-Demand Instances on the last day of each month.","Run four Reserved Instances constantly, then add eight On-Demand Instances on the last day of each month.","Run four On-Demand Instances constantly, then add eight Reserved Instances on the last day of each month.",,3,30,,
True or False? Containers contain an entire operating system.,Multiple Choice,TRUE,FALSE,,,,2,30,,
Which Amazon EC2 option is best for long-term workloads with predictable usage patterns?,Multiple Choice,Spot Instances,On-Demand Instances,Reserved Instances,,,3,30,,
Which of the following must be specified when launching a new Amazon EC2 Windows instance? (Choose two),Checkbox,Password for the administrator account,Amazon Machine Image (AMI),The Amazon EC2 instance ID,Amazon EC2 instance type,,"2,4",45,,
"True or False? Amazon S3 is an object storage suitable for the storage of flat files like Microsoft Word documents, photos, etc.",Multiple Choice,TRUE,FALSE,,,,1,30,,
Amazon S3 replicates all objects ______.,Multiple Choice,on multiple volumes within an Availability Zone,in multiple Availability Zones within the same Region,across multiple Regions for higher durability,on multiple S3 buckets,,2,30,,
Which of the following can be used as a storage class for an S3 object lifecycle policy? (Choose three),Checkbox,S3 - Standard Access,AWS Storage Gateway,S3 - Infrequent Access,Simple Storage Service Glacier,S3 - Reduced Redundancy Storage,"1,3,4",45,,
The name of an S3 bucket must be unique ______.,Multiple Choice,worldwide across all AWS accounts,within a Region,across all your AWS accounts,within your AWS account,,1,30,,
You can use Amazon Elastic File System (Amazon EFS) to:,Multiple Choice,"provide simple, scalable, elastic file storage for use only within AWS.",implement storage for Amazon EC2 instances that multiple virtual machines can access at the same time.,"host a robust CDN to deliver entire web sites with dynamic, static, and streaming content.",generate user-specific content.,,2,30,,
Amazon EBS is recommended when data ______ and ______. (Choose two),Checkbox,requires object-level storage,"must be quickly accessible, requiring long-term persistence",requires an encryption solution,needs to be stored in a different Availability Zone than the one the EC2 instance is in,,"2,3",45,,
"True or False? By default, all data stored in Amazon S3 is viewable by the public.",Multiple Choice,TRUE,FALSE,,,,2,30,,
"Regarding Amazon S3 Glacier, what is a Vault?",Multiple Choice,The rules that determine who may (or may not) access archives,"An object (photos, videos, files, or documents)",A container for storing archives,A policy that identifies who can access content stored in Glacier,,3,30,,
"True or False? When you create a bucket in Amazon S3, it is associated with a specific AWS Region.",Multiple Choice,TRUE,FALSE,,,,1,30,,
Which of the following are features of Amazon EBS? (Choose two),Checkbox,Amazon EBS data is automatically backed up to tape.,Data on an Amazon EBS volume is lost when the attached instance is stopped.,Amazon EBS volumes can be encrypted transparently to workloads on the attached instance.,Data stored on Amazon EBS is automatically replicated within an Availability Zone.,,"3,4",45,,
You are designing an ecommerce web application that will scale to hundreds of thousands of concurrent users. Which database technology is best suited to hold the session state in this example?,Multiple Choice,Amazon RDS,Amazon DynamoDB,Amazon Redshift,Amazon S3,,2,30,,
You need to find an item in an Amazon DynamoDB table using an attribute other than the item's primary key. Which of the following operations should you use?,Multiple Choice,PutItem,Scan,Query,GetItem,,2,30,,
"In Amazon DynamoDB, what does the query operation enable you to do?",Multiple Choice,Query a table using the partition key and an optional sort key filter,Query any secondary indexes that exist for a table,Efficiently retrieve items from a table or secondary index,All of the above,,4,30,,
Which AWS Cloud service is best suited for analyzing your data by using standard SQL and your existing BI tools?,Multiple Choice,Amazon RDS,Amazon S3 Glacier,Amazon DynamoDB,Amazon Redshift,,4,30,,
"In Amazon DynamoDB, an attribute is ______.",Multiple Choice,a fundamental data element,a collection of items,a collection of attributes,,,1,30,,
"If you are developing an application that requires a database with extremely fast performance, fast scalability, and flexibility in the database schema, which service should you consider?",Multiple Choice,Amazon RDS,Amazon ElastiCache,Amazon DynamoDB,Amazon Redshift,,3,30,,
Which of the following use cases is appropriate for using Amazon RDS?,Multiple Choice,Massive read/write rates,Simple GET or PUT requests,Complex transactions,All of the above,,3,30,,
"A company has an application, which consists of a .NET layer that connects to a MySQL database. They want to move this application to AWS and use features such as high availability and automated backups. Which of the following would be an ideal database for this use case?",Multiple Choice,Amazon Redshift,Amazon RDS,Amazon DynamoDB,Amazon Aurora,,4,30,,
"True or false? Amazon RDS automatically patches the database software and backs up your database, storing the backups for a user-defined retention period and enabling point-in-time recovery.",Multiple Choice,TRUE,FALSE,,,,1,30,,
What should you consider when choosing a database type?,Multiple Choice,Data size,Data access period,Query frequency,Highly available,All of the above,5,30,,
Which of the following is not one of the four areas of the performance efficiency pillar of the AWS Well-Architected Framework?,Multiple Choice,Tradeoffs,Selection,Traceability,Monitoring,,3,30,,
Which of the following is a principle when designing cloud-based systems?,Multiple Choice,Build tightly-coupled components,"Make infrequent, large batch changes",Assume everything will fail,Use as many services as possible,,3,30,,
Which of the following are pillars of the AWS Well-Architected Framework? (Choose three),Checkbox,Security,Persistence,Operational Excellence,Cost Optimization,,"1,3,4",45,,
Which design principles are recommended when considering performance efficiency? (Choose two),Checkbox,Analyze and attribute expenditure,Democratize advanced technologies,Match supply with demand,Enable traceability,Use serverless architectures,"2,5",45,,
AWS Trusted Advisor provides insight regarding which five categories of an AWS account?,Multiple Choice,"Performance, cost optimization, security, fault tolerance, service limits","Security, access control, high availability, performance, service limits","Security, fault tolerance, high availability, connectivity, service limits","Performance, cost optimization, access control, connectivity, security",,1,30,,
What is the focus of the sustainability pillar of the Well-Architected Framework?,Multiple Choice,Designing workloads that recover quickly from failures,Minimizing the environmental impacts of running cloud workloads,Avoiding unnecessary costs in cloud workloads,Automating updates to cloud workloads,,2,30,,
"After you move to the AWS Cloud, you want to ensure that the right security settings are put in place. Which online tool can assist in security compliance?",Multiple Choice,Amazon Kinesis,AWS Support,AWS Trusted Advisor,Amazon CloudWatch,,3,30,,
Which of the following is a measure of your system's ability to provide functionality when desired by the user?,Multiple Choice,Availability,Fault Tolerance,Reliability,Performance efficiency,,3,30,,
What is defined as the ability for a system to remain operational even if some of the components of that system fail?,Multiple Choice,High durability,Fault tolerance,High availability,High durability,,2,30,,
"Which of the following best describes a system that can withstand some measures of degradation, experiences minimal downtime, and requires minimal human intervention?",Multiple Choice,Scalable,Fault-tolerant,Elastic,Highly available,,4,30,,
Which of the following AWS tools help your application scale up or down based on demand? (Choose two),Checkbox,Availability Zones,Amazon EC2 Auto Scaling,AWS CloudFormation,Elastic Load Balancing,AWS Config,"2,4",45,,
Which service would you use to send alerts based on Amazon CloudWatch alarms?,Multiple Choice,Amazon Simple Notification Service (Amazon SNS),AWS CloudTrail,AWS Trusted Advisor,Amazon Route 53,,1,30,,
Which of the following are characteristics of Amazon EC2 Auto Scaling? (Choose three),Checkbox,Only supports dynamic scaling,Responds to changing conditions by adding or terminating instances,Delivers push notifications,Launches instances from a specified Amazon Machine Image (AMI),Enforces a minimum number of running Amazon EC2 instances,"2,4,5",45,,
Which of the following must be configured on an Elastic Load Balancing load balancer to expect incoming traffic?,Multiple Choice,A port,A network interface,A listener,An instance,,3,30,,
Which of the following elements are used to create an Amazon EC2 Auto Scaling launch configuration? (Choose three),Checkbox,Amazon Machine Image (AMI),Load balancer,Instance type,Virtual private cloud (VPC) and subnets,Amazon Elastic Block Store (Amazon EBS) volumes,"1,3,5",45,,
Which of the following services can help you collect important metrics from Amazon RDS and Amazon EC2 instances?,Multiple Choice,Amazon CloudFront,Amazon CloudSearch,Amazon CloudWatch,AWS CloudTrail,Amazon EC2 Auto Scaling,3,30,,
Which of the following are elements of an Auto Scaling group? (Choose three),Checkbox,Minimum size,Health checks,Desired capacity,Maximum size,,"1,3,4",45,,
There is an audit at your company and they need to have a log of all access to AWS resources in the account. Which of the following services can assist in providing these details?,Multiple Choice,Amazon CloudWatch,AWS CloudTrail,Amazon Elastic Compute Cloud (Amazon EC2),Amazon Simple Notification Service (Amazon SNS),,2,30,,
"In Elastic Load Balancing, when the load balancer detects an unhealthy target, which of the following are true? (Choose three)",Checkbox,Stops routing traffic to that target,Triggers an alarm,Resumes routing traffic when it detects that the target is healthy again,Resumes routing traffic when manually restarted,Routes traffic to a healthy target,"1,3,5",45,,
What are the three types of load balancers that Elastic Load Balancing offers?,Checkbox,Internet Load Balancer,Application Load Balancer,Network Load Balancer,Compute Load Balancer,Classic Load Balancer,"2,3,5",45,,
What are advantages of cloud computing for a company moving from a traditional on-premises computing model? (Select TWO.),Checkbox,"Resources can be created, scaled up, scaled down, or destroyed based on demand.",All on-premises server licenses can be easily transferred and managed centrally in the cloud.,The company can invest in more fixed (capital) expenses and reduce their variable expenses.,IT teams can make capacity decisions before deploying applications so that they always have excess capacity.,The company can focus less on infrastructure and focus more on differentiating the business.,"1,5",45,,
How do economies of scale help customers moving to cloud computing from on-premises computing?,Multiple Choice,Customers can deploy resources globally.,Customers have full control of their infrastructure.,Customers can achieve lower variable costs and scale infrastructure beyond what is possible on premises.,Customers can scale servers horizontally.,,3,30,,
Which statement accurately describes how customers can use AWS Support?,Multiple Choice,Customers can get AWS Support for both experimental non-production accounts and for business-critical production accounts.,Customers should contact their Support Concierge to provide quick and efficient technical support.,Customers are assigned a Technical Account Manager (TAM) for all AWS Support plans.,"Customers must choose one of three support plans: Basic Support, Business Support, and Enterprise Support.",,1,30,,
How does the AWS Billing Dashboard help companies analyze their AWS usage to find potential cost-saving opportunities?,Multiple Choice,"The billing dashboard lists the costs that were incurred over the past month by service, by AWS Region, and by linked accounts.",The billing dashboard lists all AWS accounts with activity in the previous 6 months and a summary of spending for each account.,The billing dashboard shows the pricing models for all the AWS services that are used in your account and where your usage falls in the AWS Free Tier.,The billing dashboard shows the status of the month-to-date AWS expenditure and the AWS services that account for the majority of the overall expenditure.,,4,30,,
Which statement about AWS Regions is true?,Multiple Choice,Using a Region as close as possible to users can reduce latency.,All AWS accounts can access all AWS Regions.,All available Regions are enabled by default in an AWS account.,Data stored in an AWS Region isn't subject to geographical compliance requirements.,,1,30,,
An AWS account administrator wants to grant temporary cross-account access that allows external users to access specific resources within their own account. Which action would align with the best practice of using temporary sessions?,Multiple Choice,Create an AWS Identity and Access Management (IAM) role that can be assumed by external users and grant it permissions to the specific resources.,Create an AWS Identity and Access Management (IAM) policy that allows external users to access the specific resources.,"Create an AWS Identity and Access Management (IAM) group, grant resource permissions to the group, then add IAM users to the group.",Create a new AWS Identity and Access Management (IAM) user account for each user that needs access.,,1,30,,
A company must produce reports of any changes to its Amazon EC2 instance settings. Which AWS service should they use?,Multiple Choice,AWS Artifact,AWS CloudTrail,AWS Config,Amazon CloudWatch,,3,30,,
A network administrator wants to configure a public subnet and route incoming and outgoing traffic to and from an Amazon EC2 instance in the public subnet to the public internet. Which virtual private cloud (VPC) feature should they use?,Multiple Choice,An internet gateway,VPC sharing,A network address translation (NAT) gateway,A network access control list (ACL),,1,30,,
What role do security groups play in managing access to Amazon EC2 instances?,Multiple Choice,Security groups define the AWS Identity and Access Management (IAM) roles that can access an instance.,Security groups provide a set of of rules to control traffic to or from an instance.,Security groups control inbound access to the subnet that an Amazon EC2 is associated with.,Security groups identify the public and private keys required to connect to an Amazon EC2 instance.,,2,30,,
Which scenario is a good fit for Amazon Elastic File System (Amazon EFS) storage?,Multiple Choice,A company wants to host a website.,A company needs temporary file storage for its application running on Amazon EC2.,A company needs to give all Amazon EC2 instances in its virtual private cloud (VPC) read and write access to a network file system (NFS).,A company wants to build a petabyte-sized data lake for analytics.,,3,30,,
Which statement about AWS storage services is accurate?,Multiple Choice,"Amazon EC2 instance store provides durable storage for the Amazon EC2 instance that it's attached to, but it isn't available to other EC2 instances.","To access an Amazon Elastic File System (Amazon EFS), the file system must be mounted on an Amazon EC2 instance in your virtual private cloud (VPC).",Amazon EC2 instance store is a good choice for running big data processing and analytics.,"Amazon Elastic Block Store (Amazon EBS) volumes provide temporary block storage to Amazon EC2, but they don't persist when the EC2 instance is stopped.",,2,30,,
Which scenario describes a good use case for Amazon S3 Standard storage?,Multiple Choice,Hosting website images,Sharing an NFS file system,Act as an EC2 instance store.,Running a relational database,,1,30,,
Which option is a company's responsibility when running Amazon RDS?,Multiple Choice,Database software patching,Application optimization,Operating system patching,Operating system installation,,2,30,,
Which scenario is a good fit for Amazon Redshift?,Multiple Choice,A company needs a database for managing unstructured data.,A company needs to store large volumes of mixed media image and video files.,A company needs a data warehouse to support analytics applications.,A company needs a relational database for a line-of-business transactional database.,,3,30,,
How does AWS Trusted Advisor assist a company getting started with AWS?,Multiple Choice,AWS Trusted Advisor provides recommendations on configuring your AWS resources.,AWS Trusted Advisor prevents access to resources that have overly broad permissions.,AWS Trusted Advisor provides recommendations for migrating on-premises resources to the cloud.,AWS Trusted Advisor automatically increases service limits (quotas) if you're near the limit.,,1,30,,
