Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
Đặc tính nào của điện toán đám mây cho phép tiết kiệm chi phí bằng cách phục vụ nhiều người dùng?,Multiple Choice,Truy cập mạng rộng (Broad network access),Tự phục vụ theo yêu cầu (On-demand self-service),Các mô hình public cloud,Gộp tài nguyên (Resource pooling), ,4,60,,
Tính năng mạng nào trong những năm 1950 đã giúp phát triển Máy ảo (Virtual Machines - VMs)?,Multiple Choice,"Bảo mật, tuân thủ và hiệu năng",Truy cập dùng chung vào một máy chủ mainframe,Truy cập mạng rộng,Dịch vụ được đo lường (Measured service), ,2,60,,
Một số lợi ích của điện toán đám mây là gì?,Multiple Choice,Khả năng hoạt động ngoại tuyến và bảo mật,Mua phần mềm đóng gói và các bản nâng cấp,"Lợi thế cạnh tranh, tính linh hoạt và hiệu quả",Sự đa dạng của việc tiêu chuẩn hóa,,3,60,,
Nhà cung cấp nào sau đây được biết đến nhiều hơn với các sản phẩm SaaS?,Multiple Choice,Intel,Amazon Web Services,Alibaba Cloud,Salesforce,,4,60,,
UBank đã tận dụng đám mây để loại bỏ các rào cản đối với sự đổi mới như thế nào?,Multiple Choice,Bằng cách áp dụng mô hình phát triển đám mây PaaS để hợp lý hóa quy trình phát triển và trao quyền cho các nhóm sản phẩm,Bằng cách hiện đại hóa các ứng dụng cho khách hàng từ mã nguồn nguyên khối (monolithic) sang kiến trúc microservices trên đám mây,Bằng cách thiết lập một nền tảng lưu trữ có khả năng mở rộng để phân phối với độ trễ thấp cho khách hàng doanh nghiệp trên toàn thế giới,Bằng cách di chuyển hệ thống giao dịch của họ từ hạ tầng tại chỗ sang giải pháp IBM Cloud cho VMware,,1,60,,
Đâu là một rủi ro mà doanh nghiệp phải đối mặt nếu không áp dụng đám mây?,Multiple Choice,Các vấn đề về tuân thủ,Thiếu tiêu chuẩn hóa,Bảo mật dữ liệu,Thiếu năng lực ra quyết định,,4,60,,
Kết nối Đám mây hỗ trợ các thiết bị IoT như thế nào?,Multiple Choice,Tăng độ trễ trong việc báo cáo và phản hồi,Điểm thu thập gần các thiết bị đang di chuyển,Cung cấp một vị trí vật lý cố định cho dữ liệu được thu thập từ các thiết bị IoT,Rút ra thông tin chi tiết từ dữ liệu được thu thập từ các thiết bị và người dùng IoT,,2,60,,
"Mối quan hệ cộng sinh ba bên giữa IoT, AI và Đám mây là gì?",Multiple Choice,"IoT cung cấp dữ liệu, AI cung cấp thông tin chuyên sâu, và cả hai công nghệ mới nổi này đều tận dụng khả năng mở rộng và sức mạnh xử lý của Đám mây",Hiểu được các luồng dữ liệu vô tận từ các thiết bị IoT,AI tiêu thụ dữ liệu do các thiết bị IoT tạo ra,"Sức mạnh, quy mô, tính năng động và tính kinh tế của tài nguyên đám mây",,1,60,,
"Mối quan hệ ba bên giữa blockchain, AI và Đám mây là gì?",Multiple Choice,Mang lại sự tin cậy và minh bạch cho AI bằng cách ghi lại dữ liệu và các biến số trong một quyết định được đưa ra trong thuật toán AI.,"Các tài nguyên máy tính được phân phối toàn cầu, có khả năng mở rộng và hiệu quả về chi phí.",Blockchain cung cấp một mạng lưới bất biến cho phép các thành viên chỉ xem những giao dịch liên quan đến họ.,"Blockchain cung cấp nguồn chân lý phi tập trung, đáng tin cậy; AI cung cấp sức mạnh phân tích và ra quyết định từ dữ liệu thu thập được; và Đám mây cung cấp tài nguyên máy tính phân tán toàn cầu, có khả năng mở rộng và hiệu quả về chi phí để hỗ trợ cả hai công nghệ.",,4,60,,
"Theo định nghĩa của Viện Tiêu chuẩn và Công nghệ Quốc gia Hoa Kỳ (NIST) về “điện toán đám mây”, ý nghĩa của câu “một hồ chứa chung các tài nguyên máy tính có thể cấu hình” là gì?",Multiple Choice,"Mạng, máy chủ, lưu trữ, ứng dụng và dịch vụ.","Năm đặc tính thiết yếu, ba mô hình triển khai và ba mô hình dịch vụ.",Tận dụng các dịch vụ đám mây qua internet mở trên phần cứng thuộc sở hữu của nhà cung cấp đám mây.,Bảo mật dữ liệu liên quan đến việc mất mát hoặc không có sẵn dữ liệu gây gián đoạn kinh doanh.,,1,60,,
Hypervisor (trình ảo hóa) thực hiện những tác vụ nào?,Multiple Choice,Mở rộng theo yêu cầu để hỗ trợ các khối lượng công việc biến động,Làm biến động khối lượng công việc và tạo điều kiện truy cập vào máy chủ mainframe,Cho phép nhiều hệ điều hành chạy song song và phân tách các máy ảo một cách logic,Tạo điều kiện truy cập vào máy chủ mainframe cho nhiều người dùng để truy cập cùng một lớp lưu trữ dữ liệu,,3,60,,
Những yếu tố chính nào thúc đẩy một tổ chức lựa chọn điện toán đám mây khi xem xét chi tiêu cho phần mềm đóng gói và đầu tư vào các bản nâng cấp?,Multiple Choice,Mức độ rủi ro,Tốc độ và năng suất,Phần mềm dưới dạng dịch vụ (SaaS) và các nền tảng phát triển,Hạ tầng và khối lượng công việc,,3,60,,
Phát biểu nào sau đây mô tả một lợi ích của điện toán đám mây?,Multiple Choice,Thiếu tiêu chuẩn hóa trong cách các công nghệ không ngừng phát triển tích hợp với nhau,Tính liên tục trong kinh doanh (Business continuity),Lỗi phần cứng không dẫn đến mất dữ liệu vì có các bản sao lưu được duy trì trên mạng,Bảo mật dữ liệu liên quan đến việc mất hoặc không có sẵn dữ liệu,,3,60,,
Nhà cung cấp dịch vụ nào cung cấp một trong những nền tảng quản lý dữ liệu dựa trên đám mây lớn nhất?,Multiple Choice,Salesforce,Alibaba Cloud,Amazon Web Services,Oracle Cloud,,4,60,,
"Nhà cung cấp dịch vụ nào sử dụng nền tảng đám mây của mình trong nội bộ cho các sản phẩm người dùng cuối, chẳng hạn như máy tìm kiếm và các công cụ ứng dụng tự động phân bổ và giải phóng tài nguyên để xử lý nhu cầu?",Multiple Choice,SAP,Oracle Cloud,Microsoft Azure,Google Cloud Platform (GCP),,4,60,,
